time(s),ch0(V),ch1(V),ch2(V),ch3(V)
1.6,0.1016,2.4991,2.4988,2.4991
1.6125,0.0626,2.4991,2.4988,2.4991
1.625,0.0223,2.4991,2.4988,2.4991
1.6375,-0.0168,2.4991,2.4988,2.4991
1.65,-0.0555,2.4991,2.4988,2.4991
1.6625,-0.0955,2.4991,2.4988,2.4991
1.675,-0.1349,2.4991,2.4988,2.4991
1.6875,-0.1727,2.4991,2.4988,2.4991
1.7,-0.2097,2.4991,2.4988,2.4991
1.7125,-0.2457,2.4991,2.4988,2.4991
1.725,-0.2798,2.4991,2.4988,2.4991
1.7375,-0.3125,2.4991,2.4988,2.4991
1.75,-0.343,2.4991,2.4988,2.4991
1.7625,-0.372,2.4991,2.4988,2.4991
1.775,-0.3983,2.4991,2.4988,2.4991
1.7875,-0.4224,2.4991,2.4988,2.4991
1.8,-0.4434,2.4991,2.4988,2.4991
1.8125,-0.4617,2.4991,2.4988,2.4991
1.825,-0.4779,2.4991,2.4988,2.4991
1.8375,-0.491,2.4991,2.4988,2.4991
1.85,-0.5002,2.4991,2.4988,2.4991
1.8625,-0.5063,2.4991,2.4988,2.4991
1.875,-0.5106,2.4991,2.4988,2.4991
1.8875,-0.5109,2.4991,2.4988,2.4991
1.9,-0.5087,2.4991,2.4988,2.4991
1.9125,-0.5026,2.4991,2.4988,2.4991
1.925,-0.4938,2.4991,2.4988,2.4991
1.9375,-0.4822,2.4991,2.4988,2.4991
1.95,-0.4666,2.4991,2.4988,2.4991
1.9625,-0.4486,2.4991,2.4988,2.4991
1.975,-0.4282,2.4991,2.4988,2.4991
1.9875,-0.4053,2.4991,2.4988,2.4991
2.0,-0.3796,2.4991,2.4988,2.4991
2.0125,-0.3513,2.4991,2.4988,2.4991
2.025,-0.321,2.4991,2.4988,2.4991
2.0375,-0.289,2.4991,2.4988,2.4991
2.05,-0.2551,2.4991,2.4985,2.4991
2.0625,-0.2197,2.4991,2.4988,2.4991
2.075,-0.1831,2.4991,2.4988,2.4991
2.0875,-0.1453,2.4991,2.4988,2.4991
2.1,-0.1068,2.4991,2.4988,2.4991
2.1125,-0.0665,2.4991,2.4988,2.4991
2.125,-0.0278,2.4991,2.4988,2.4991
2.1375,0.011,2.4991,2.4988,2.4991
2.15,0.0513,2.4991,2.4988,2.4991
2.1625,0.0916,2.4991,2.4988,2.4991
2.175,0.13,2.4991,2.4988,2.4991
2.1875,0.1682,2.4991,2.4988,2.4991
2.2,0.2051,2.4991,2.4988,2.4991
2.2125,0.2414,2.4991,2.4988,2.4991
2.225,0.2747,2.4991,2.4988,2.4991
2.2375,0.3073,2.4991,2.4988,2.4991
2.25,0.3387,2.4991,2.4988,2.4991
2.2625,0.3674,2.4991,2.4988,2.4991
2.275,0.3931,2.4991,2.4988,2.4991
2.2875,0.4169,2.4991,2.4988,2.4991
2.3,0.4382,2.4991,2.4988,2.4991
2.3125,0.4572,2.4991,2.4985,2.4991
2.325,0.4721,2.4991,2.4988,2.4991
2.3375,0.4849,2.4991,2.4988,2.4991
2.35,0.4953,2.4991,2.4988,2.4991
2.3625,0.5014,2.4991,2.4988,2.4991
2.375,0.5051,2.4991,2.4988,2.4991
2.3875,0.5048,2.4991,2.4988,2.4991
2.4,0.502,2.4991,2.4988,2.4991
2.4125,0.4968,2.4991,2.4988,2.4991
2.425,0.4877,2.4991,2.4988,2.4991
2.4375,0.4755,2.4991,2.4988,2.4991
2.45,0.4605,2.4991,2.4988,2.4991
2.4625,0.4431,2.4991,2.4988,2.4991
2.475,0.4224,2.4991,2.4988,2.4991
2.4875,0.3986,2.4991,2.4988,2.4991
2.5,0.3735,2.4991,2.4988,2.4991
2.5125,0.3455,2.4991,2.4988,2.4991
2.525,0.3146,2.4991,2.4988,2.4991
2.5375,0.2826,2.4991,2.4988,2.4991
2.55,0.249,2.4991,2.4988,2.4991
2.5625,0.2133,2.4991,2.4988,2.4991
2.575,0.1761,2.4991,2.4988,2.4991
2.5875,0.1389,2.4991,2.4988,2.4991
