time(s),ch0(V),ch1(V),ch2(V),ch3(V)
3.075,0.5054,,,
3.0875,0.506,,,
3.1,0.506,,,
3.1125,0.5057,,,
3.125,0.5054,,,
3.1375,0.506,,,
3.15,0.506,,,
3.1625,0.5057,,,
3.175,0.5054,,,
3.1875,0.5057,,,
3.2,0.506,,,
3.2125,0.5057,,,
3.225,0.5054,,,
3.2375,0.506,,,
3.25,0.506,,,
3.2625,0.5057,,,
3.275,0.5054,,,
3.2875,0.5057,,,
3.3,0.506,,,
3.3125,0.5054,,,
3.325,0.5054,,,
3.3375,0.5057,,,
3.35,0.506,,,
3.3625,0.5057,,,
3.375,0.5054,,,
3.3875,0.506,,,
3.4,0.506,,,
3.4125,0.5057,,,
3.425,0.5054,,,
3.4375,0.5057,,,
3.45,-0.5161,,,
3.4625,-0.5164,,,
3.475,-0.5164,,,
3.4875,-0.5161,,,
3.5,-0.5161,,,
3.5125,-0.5164,,,
3.525,-0.5164,,,
3.5375,-0.5161,,,
3.55,-0.5161,,,
3.5625,-0.5164,,,
3.575,-0.5164,,,
3.5875,-0.5161,,,
3.6,-0.5161,,,
3.6125,-0.5164,,,
3.625,-0.5164,,,
3.6375,-0.5161,,,
3.65,-0.5161,,,
3.6625,-0.5164,,,
3.675,-0.5164,,,
3.6875,-0.5161,,,
3.7,-0.5161,,,
3.7125,-0.5164,,,
3.725,-0.5164,,,
3.7375,-0.5161,,,
3.75,-0.5161,,,
3.7625,-0.5164,,,
3.775,-0.5164,,,
3.7875,-0.5161,,,
3.8,-0.5161,,,
3.8125,-0.5164,,,
3.825,-0.5164,,,
3.8375,-0.5161,,,
3.85,-0.5161,,,
3.8625,-0.5164,,,
3.875,-0.5164,,,
3.8875,-0.5161,,,
3.9,-0.5161,,,
3.9125,-0.5164,,,
3.925,-0.5164,,,
3.9375,-0.5161,,,
3.95,0.506,,,
3.9625,0.5054,,,
3.975,0.5057,,,
3.9875,0.506,,,
4.0,0.506,,,
4.0125,0.5054,,,
4.025,0.5057,,,
4.0375,0.506,,,
4.05,0.506,,,
4.0625,0.5054,,,
4.075,0.5057,,,
4.0875,0.506,,,
4.1,0.506,,,
4.1125,0.5054,,,
4.125,0.5057,,,
4.1375,0.506,,,
4.15,0.506,,,
4.1625,0.5057,,,
4.175,0.5057,,,
4.1875,0.506,,,
4.2,0.506,,,
4.2125,0.5054,,,
4.225,0.5057,,,
4.2375,0.506,,,
4.25,0.506,,,
4.2625,0.5057,,,
4.275,0.5057,,,
4.2875,0.506,,,
4.3,0.506,,,
4.3125,0.5054,,,
4.325,0.5057,,,
4.3375,0.506,,,
4.35,0.506,,,
4.3625,0.5054,,,
4.375,0.5057,,,
4.3875,0.506,,,
4.4,0.506,,,
4.4125,0.5054,,,
4.425,0.5054,,,
4.4375,0.506,,,
4.45,-0.5161,,,
4.4625,-0.5164,,,
4.475,-0.5164,,,
4.4875,-0.5161,,,
4.5,-0.5161,,,
4.5125,-0.5164,,,
4.525,-0.5164,,,
4.5375,-0.5161,,,
4.55,-0.5161,,,
4.5625,-0.5167,,,
4.575,-0.5164,,,
4.5875,-0.5161,,,
4.6,-0.5161,,,
4.6125,-0.5164,,,
4.625,-0.5164,,,
4.6375,-0.5161,,,
4.65,-0.5161,,,
4.6625,-0.5164,,,
4.675,-0.5164,,,
4.6875,-0.5161,,,
4.7,-0.5161,,,
4.7125,-0.5164,,,
4.725,-0.5164,,,
4.7375,-0.5161,,,
4.75,-0.5161,,,
4.7625,-0.5164,,,
4.775,-0.5164,,,
4.7875,-0.5157,,,
4.8,-0.5161,,,
4.8125,-0.5164,,,
4.825,-0.5164,,,
4.8375,-0.5157,,,
4.85,-0.5161,,,
4.8625,-0.5167,,,
4.875,-0.5164,,,
4.8875,-0.5157,,,
4.9,-0.5161,,,
4.9125,-0.5164,,,
4.925,-0.5164,,,
4.9375,-0.5157,,,
4.95,0.506,,,
4.9625,0.5054,,,
4.975,0.5057,,,
4.9875,0.506,,,
5.0,0.506,,,
5.0125,0.5054,,,
5.025,0.5057,,,
5.0375,0.506,,,
5.05,0.506,,,
5.0625,0.5054,,,
5.075,0.5057,,,
5.0875,0.506,,,
5.1,0.506,,,
5.1125,0.5054,,,
5.125,0.5057,,,
5.1375,0.506,,,
5.15,0.506,,,
5.1625,0.5054,,,
5.175,0.5057,,,
5.1875,0.506,,,
5.2,0.506,,,
5.2125,0.5054,,,
5.225,0.5057,,,
5.2375,0.506,,,
5.25,0.5057,,,
5.2625,0.5054,,,
5.275,0.5057,,,
5.2875,0.506,,,
5.3,0.506,,,
5.3125,0.5054,,,
5.325,0.5057,,,
5.3375,0.506,,,
5.35,0.5057,,,
5.3625,0.5054,,,
5.375,0.5057,,,
5.3875,0.506,,,
5.4,0.506,,,
5.4125,0.5054,,,
5.425,0.5057,,,
5.4375,0.506,,,
5.45,-0.5161,,,
5.4625,-0.5167,,,
5.475,-0.5164,,,
5.4875,-0.5161,,,
5.5,-0.5161,,,
5.5125,-0.5167,,,
5.525,-0.5164,,,
5.5375,-0.5161,,,
5.55,-0.5161,,,
5.5625,-0.5164,,,
5.575,-0.5164,,,
5.5875,-0.5157,,,
5.6,-0.5161,,,
5.6125,-0.5167,,,
5.625,-0.5164,,,
5.6375,-0.5157,,,
5.65,-0.5161,,,
5.6625,-0.5164,,,
5.675,-0.5164,,,
5.6875,-0.5157,,,
5.7,-0.5161,,,
5.7125,-0.5167,,,
5.725,-0.5164,,,
5.7375,-0.5161,,,
5.75,-0.5161,,,
5.7625,-0.5167,,,
5.775,-0.5164,,,
5.7875,-0.5161,,,
5.8,-0.5161,,,
5.8125,-0.5164,,,
5.825,-0.5164,,,
5.8375,-0.5161,,,
5.85,-0.5161,,,
5.8625,-0.5164,,,
5.875,-0.5164,,,
5.8875,-0.5161,,,
5.9,-0.5161,,,
5.9125,-0.5164,,,
5.925,-0.5164,,,
5.9375,-0.5161,,,
5.95,0.506,,,
5.9625,0.5054,,,
5.975,0.5057,,,
5.9875,0.506,,,
6.0,0.506,,,
6.0125,0.5057,,,
6.025,0.5057,,,
6.0375,0.506,,,
6.05,0.506,,,
6.0625,0.5054,,,
6.075,0.5057,,,
6.0875,0.506,,,
6.1,0.506,,,
6.1125,0.5054,,,
6.125,0.5057,,,
6.1375,0.506,,,
6.15,0.506,,,
6.1625,0.5057,,,
6.175,0.5057,,,
6.1875,0.506,,,
6.2,0.506,,,
6.2125,0.5057,,,
6.225,0.5057,,,
6.2375,0.506,,,
