time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.0458,2.19268799,,,
0.046,2.19299316,,,
0.0462,2.19299316,,,
0.0464,2.19299316,,,
0.0466,2.19299316,,,
0.0468,2.19268799,,,
0.047,2.19299316,,,
0.0472,2.19268799,,,
0.0474,2.19299316,,,
0.0476,2.19299316,,,
0.0478,2.19299316,,,
0.048,2.19268799,,,
0.0482,2.19299316,,,
0.0484,2.19299316,,,
0.0486,2.19299316,,,
0.0488,2.19299316,,,
0.049,2.19299316,,,
0.0492,2.19299316,,,
0.0494,2.19299316,,,
0.0496,2.19299316,,,
0.0498,2.19268799,,,
0.05,2.19268799,,,
0.0502,2.19268799,,,
0.0504,2.19268799,,,
0.0506,2.19299316,,,
0.0508,2.19299316,,,
0.051,2.19268799,,,
0.0512,2.19268799,,,
0.0514,2.19299316,,,
0.0516,2.19299316,,,
0.0518,2.19299316,,,
0.052,2.19268799,,,
0.0522,2.19299316,,,
0.0524,2.19268799,,,
0.0526,2.19268799,,,
0.0528,2.19268799,,,
0.053,2.19299316,,,
0.0532,2.19268799,,,
0.0534,2.19268799,,,
0.0536,2.19268799,,,
0.0538,2.19299316,,,
0.054,2.19299316,,,
0.0542,2.19268799,,,
0.0544,2.19299316,,,
0.0546,2.19299316,,,
0.0548,2.19299316,,,
0.055,2.19299316,,,
0.0552,2.19268799,,,
0.0554,2.19299316,,,
0.0556,2.19299316,,,
0.0558,2.19299316,,,
0.056,2.19299316,,,
0.0562,2.19299316,,,
0.0564,2.19299316,,,
0.0566,2.19299316,,,
0.0568,2.19299316,,,
0.057,2.19299316,,,
0.0572,2.19268799,,,
0.0574,2.19299316,,,
0.0576,2.19299316,,,
0.0578,2.19299316,,,
0.058,2.19299316,,,
0.0582,2.19268799,,,
0.0584,2.19299316,,,
0.0586,2.19299316,,,
0.0588,2.19299316,,,
0.059,2.19299316,,,
0.0592,2.19299316,,,
0.0594,2.19299316,,,
0.0596,2.19299316,,,
0.0598,2.19299316,,,
0.06,2.19299316,,,
0.0602,2.19299316,,,
0.0604,2.19268799,,,
0.0606,2.19268799,,,
0.0608,2.19299316,,,
0.061,2.19268799,,,
0.0612,2.19299316,,,
0.0614,2.19299316,,,
0.0616,2.19268799,,,
0.0618,2.19299316,,,
0.062,2.19299316,,,
0.0622,2.19299316,,,
0.0624,2.19299316,,,
0.0626,2.19268799,,,
0.0628,2.19268799,,,
0.063,2.19299316,,,
0.0632,2.19268799,,,
0.0634,2.19299316,,,
0.0636,2.19299316,,,
0.0638,2.19268799,,,
0.064,2.19268799,,,
0.0642,2.19268799,,,
0.0644,2.19268799,,,
0.0646,2.19268799,,,
0.0648,2.19299316,,,
0.065,2.19299316,,,
0.0652,2.19299316,,,
0.0654,2.19299316,,,
0.0656,2.19299316,,,
0.0658,2.19268799,,,
0.066,2.19299316,,,
0.0662,2.19299316,,,
0.0664,2.19299316,,,
0.0666,2.19299316,,,
0.0668,2.19268799,,,
0.067,2.19299316,,,
0.0672,2.19268799,,,
0.0674,2.19299316,,,
0.0676,2.19268799,,,
0.0678,2.19268799,,,
0.068,2.19299316,,,
0.0682,2.19299316,,,
0.0684,2.19299316,,,
0.0686,2.19299316,,,
0.0688,2.19268799,,,
0.069,2.19268799,,,
0.0692,2.19268799,,,
0.0694,2.19268799,,,
0.0696,2.19299316,,,
0.0698,2.19299316,,,
0.07,2.19299316,,,
0.0702,2.19299316,,,
0.0704,2.19268799,,,
0.0706,2.19268799,,,
0.0708,2.19299316,,,
0.071,2.19299316,,,
0.0712,2.19268799,,,
0.0714,2.19299316,,,
0.0716,2.19268799,,,
0.0718,2.19268799,,,
0.072,2.19299316,,,
0.0722,2.19299316,,,
0.0724,2.19268799,,,
0.0726,2.19268799,,,
0.0728,2.19299316,,,
0.073,2.19299316,,,
0.0732,2.19268799,,,
0.0734,2.19299316,,,
0.0736,2.19299316,,,
0.0738,2.19299316,,,
0.074,2.19299316,,,
0.0742,2.19299316,,,
0.0744,2.19299316,,,
0.0746,2.19299316,,,
0.0748,2.19299316,,,
0.075,2.19268799,,,
0.0752,2.19268799,,,
0.0754,2.19299316,,,
0.0756,2.19299316,,,
0.0758,2.19299316,,,
0.076,2.19299316,,,
0.0762,2.19299316,,,
0.0764,2.19268799,,,
0.0766,2.19299316,,,
0.0768,2.19299316,,,
0.077,2.19268799,,,
0.0772,2.19268799,,,
0.0774,2.19299316,,,
0.0776,2.19299316,,,
0.0778,2.19299316,,,
0.078,2.19299316,,,
0.0782,2.19299316,,,
0.0784,2.19299316,,,
0.0786,2.19299316,,,
0.0788,2.19268799,,,
0.079,2.19299316,,,
0.0792,2.19299316,,,
0.0794,2.19299316,,,
0.0796,2.19268799,,,
0.0798,2.19268799,,,
0.08,2.19268799,,,
0.0802,2.19299316,,,
0.0804,2.19268799,,,
0.0806,2.19299316,,,
0.0808,2.19299316,,,
0.081,2.19299316,,,
0.0812,2.19299316,,,
0.0814,2.19268799,,,
0.0816,2.19268799,,,
0.0818,2.19268799,,,
0.082,2.19299316,,,
0.0822,2.19268799,,,
0.0824,2.19299316,,,
0.0826,2.19299316,,,
0.0828,2.19299316,,,
0.083,2.19299316,,,
0.0832,2.19299316,,,
0.0834,2.19268799,,,
0.0836,2.19299316,,,
0.0838,2.19268799,,,
0.084,2.19299316,,,
0.0842,2.19299316,,,
0.0844,2.19299316,,,
0.0846,2.19299316,,,
0.0848,2.19299316,,,
0.085,2.19299316,,,
0.0852,2.19299316,,,
0.0854,2.19268799,,,
0.0856,2.19299316,,,
0.0858,2.19299316,,,
0.086,2.19299316,,,
0.0862,2.19268799,,,
0.0864,2.19299316,,,
0.0866,2.19299316,,,
0.0868,2.19268799,,,
0.087,2.19299316,,,
0.0872,2.19299316,,,
0.0874,2.19299316,,,
0.0876,2.19299316,,,
0.0878,2.19299316,,,
0.088,2.19299316,,,
0.0882,2.19268799,,,
0.0884,2.19299316,,,
0.0886,2.19299316,,,
0.0888,2.19268799,,,
0.089,2.19299316,,,
0.0892,2.19299316,,,
0.0894,2.19299316,,,
0.0896,2.19299316,,,
0.0898,2.19268799,,,
0.09,2.19299316,,,
0.0902,2.19299316,,,
0.0904,2.19299316,,,
0.0906,2.19299316,,,
0.0908,2.19299316,,,
0.091,2.19299316,,,
0.0912,2.19268799,,,
0.0914,2.19299316,,,
0.0916,2.19299316,,,
0.0918,2.19299316,,,
0.092,2.19299316,,,
0.0922,2.19299316,,,
0.0924,2.19299316,,,
0.0926,2.19299316,,,
